ticker,score,verdict,support,resistance,range_width_pct,support_touches,resistance_touches,containment_ratio,adx_14,atr_pct,ema20_slope_pct,avg_volume_20,avg_dollar_volume_20,latest_close,risk_note,skip_reason
MA,80.16,EXCELLENT_RANGE,485.94,562.28,15.71,11,22,0.7583,22.9,2.29,-2.95,3450357.0,1717676040.0,498.66,HIGH_DOWNSIDE_BREAKDOWN_RISK,
DIS,78.8,WATCHLIST,102.05,113.05,10.78,14,32,0.6333,27.79,2.21,-4.95,10728766.0,1047640918.0,99.17,HIGH_DOWNSIDE_BREAKDOWN_RISK,
NFLX,69.96,TRENDING_NOT_RANGE,91.46,96.21,5.2,19,24,0.2583,33.54,2.75,5.36,36325113.0,3461889087.0,103.01,HIGH_UPSIDE_BREAKOUT_RISK,
ADBE,67.97,TRENDING_NOT_RANGE,328.09,361.57,10.2,22,21,0.3667,37.95,3.84,-9.76,6097454.0,1484815831.0,225.35,HIGH_DOWNSIDE_BREAKDOWN_RISK,
CRM,83.09,TRENDING_NOT_RANGE,177.88,266.66,49.92,19,35,0.975,16.86,4.57,-6.38,13521604.0,2506085323.0,164.96,HIGH_DOWNSIDE_BREAKDOWN_RISK,
PYPL,83.59,EXCELLENT_RANGE,43.68,46.46,6.37,18,22,0.2333,8.63,3.26,-0.95,16681610.0,749224428.0,45.24,,
INTC,20.0,MESSY_RANGE,,,,,,,22.58,4.94,9.98,102912093.0,5072240726.0,62.38,,No clear range structure detected
CSCO,88.33,EXCELLENT_RANGE,75.94,79.82,5.1,38,44,0.5417,13.83,2.69,1.99,22935109.0,1822108837.0,82.22,HIGH_UPSIDE_BREAKOUT_RISK,
PEP,84.06,EXCELLENT_RANGE,143.19,149.51,4.42,27,23,0.3833,17.44,2.01,-3.84,6169269.0,950760391.0,157.06,HIGH_UPSIDE_BREAKOUT_RISK,
KO,77.64,WATCHLIST,69.41,71.31,2.73,27,31,0.325,14.6,1.73,-1.7,15010658.0,1142742254.0,77.47,HIGH_UPSIDE_BREAKOUT_RISK,
ABT,71.57,TRENDING_NOT_RANGE,122.3,129.65,6.01,24,26,0.475,35.99,2.25,-6.46,12651963.0,1325530170.0,100.3,HIGH_DOWNSIDE_BREAKDOWN_RISK,
MRK,75.09,WATCHLIST,106.15,122.73,15.61,16,21,0.5583,12.57,2.36,1.39,9768440.0,1150769861.0,121.42,HIGH_UPSIDE_BREAKOUT_RISK,
TMO,20.0,MESSY_RANGE,,,,,,,27.45,2.83,-3.43,1930580.0,929280184.0,496.11,,No clear range structure detected
AVGO,85.48,EXCELLENT_RANGE,330.93,355.78,7.51,36,43,0.5167,22.75,3.61,-0.62,26301558.0,8490162153.0,371.55,,
COST,86.5,EXCELLENT_RANGE,847.79,1017.93,20.07,9,21,0.9667,17.79,1.92,0.61,1689236.0,1682215487.0,998.47,HIGH_UPSIDE_BREAKOUT_RISK,
NKE,68.33,TRENDING_NOT_RANGE,61.59,66.04,7.22,39,50,0.5417,46.8,4.36,-17.03,26514572.0,1258278464.0,42.62,HIGH_DOWNSIDE_BREAKDOWN_RISK,
